column_name,dtype,non_null_count,null_count,unique_count,sample_values,min,max,mean
BENE_ID,object,20867,0,5699,"['-10000010254618', '-10000010254653', '-10000010254656', '-10000010254666', '-10000010254682']",None,None,None
CLM_ID,int64,20867,0,20867,"[-10000930037831, -10000930038030, -10000930038031, -10000930038162, -10000930038163]",-10000931486024,-10000930037831,-10000930747721.668
CLM_FROM_DT,object,20867,0,2914,"['2015-03-25', '2015-09-24', '2017-05-09', '2017-01-14', '2018-03-17']",None,None,None
CLM_THRU_DT,object,20867,0,2910,"['2015-03-25', '2015-09-24', '2017-05-10', '2017-01-14', '2018-03-17']",None,None,None
YR,int64,20867,0,9,"[2015, 2017, 2018, 2022, 2021]",2015,2023,2019.1000143767671
LOS,int64,20867,0,45,"[0, 1, 10, 11, 2]",0,104,1.0549192504912062
DRG,int64,20867,0,168,"[551, 951, 923, 564, 101]",0,976,662.2920879858149
PRNCPAL_DGNS_CD,object,20867,0,190,"['S134XX', 'Z3480', 'T7432X', 'S8290X', 'Z3400']",None,None,None
PTNT_DSCHRG_STUS_CD,int64,20867,0,1,[1],1,1,1.0
CLM_IP_ADMSN_TYPE_CD,int64,20867,0,3,"[1, 3, 2]",1,3,1.3991949010399194
ER_flag,int64,20867,0,2,"[0, 1]",0,1,0.048497627833421195
CLM_TOT_CHRG_AMT,float64,20867,0,10341,"[96.65, 6311.88, 8545.72, 1014.85, 9911.41]",62.44,598716.31,6759.314423731251
CLM_PMT_AMT,float64,20867,0,10341,"[96.65, 6311.88, 8545.72, 1014.85, 9911.41]",62.44,598716.31,6759.314423731251
NUM_DIAG,int64,20867,0,56,"[9, 4, 3, 6, 8]",1,58,21.899554320218527
ICD_Description,object,17098,3769,152,"['Sprain of ligaments of cervical spine', ' Encounter for supervision of other normal pregnancy, unspecified trimester', 'Child psychological abuse, confirmed', 'Unspecified fracture of unspecified lower leg', ' Encounter for supervision of normal first pregnancy, unspecified trimester']",None,None,None
DRG_TITLE,object,17952,2915,165,"['MEDICAL BACK PROBLEMS WITH MCC', 'OTHER FACTORS INFLUENCING HEALTH STATUS', 'OTHER INJURY, POISONING AND TOXIC EFFECT DIAGNOSES WITHOUT MCC', 'OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH MCC', 'SEIZURES WITHOUT MCC']",None,None,None
STATE_CODE,int64,20867,0,51,"[1, 2, 3, 4, 6]",1,53,24.9745531221546
COUNTY_CD,int64,20867,0,1350,"[1500, 1400, 1360, 1440, 1120]",1010,53220,25327.16633919586
SEX_IDENT_CD,int64,20867,0,2,"[1, 2]",1,2,1.4516701011165956
BENE_RACE_CD,int64,20867,0,6,"[1, 4, 2, 5, 3]",1,6,2.049456078976374
ESRD_IND,object,20867,0,2,"['0', 'Y']",None,None,None
Age,int64,20867,0,112,"[16, 33, 35, 18, 19]",0,111,66.28801456845737
TOT_RX_CST_AMT,float64,20867,0,7231,"[275.19, 0.0, 302.04, 444.23, 408.33]",0.0,197011.98,11439.025583457134
